Date,ALGN,AOS,CHDN,DAR,EMN,FSLR,GATX,ITT,JBL,LEA,LKQ,MAS,MAT,NDSN,NOV,OGE,PNR,R,RLI,RPM,SAIC,SWK,TAP,TFX,UHS,WCC,WHR,WTRG,ZBRA
2015-01-02,56.20000076293945,23.225433349609375,14.769936561584473,18.15999984741211,52.79045867919922,44.54999923706055,44.10909652709961,35.614009857177734,19.6810245513916,79.79791259765625,24.410606384277344,18.472436904907227,26.215511322021484,69.07319641113281,54.685882568359375,22.231233596801758,36.898311614990234,66.06620788574219,15.714957237243652,39.74956130981445,40.705535888671875,71.05257415771484,55.26596450805664,106.13748931884766,105.78787994384766,73.73199462890625,125.43782043457031,19.80129051208496,77.43000030517578
2015-01-05,56.9900016784668,22.81905174255371,14.709911346435547,18.25,50.96819305419922,41.83000183105469,42.62218475341797,33.40354537963867,19.362409591674805,77.18144226074219,24.111845016479492,18.154834747314453,26.206905364990234,66.82225799560547,52.18915939331055,21.962936401367188,35.39316940307617,63.94704818725586,15.529889106750488,38.96009063720703,40.59864044189453,69.53565216064453,54.929256439208984,103.80458068847656,103.62389373779297,71.63920593261719,122.85118103027344,19.41765785217285,76.33999633789062
2015-01-06,57.45000076293945,22.632461547851562,14.447684288024902,18.100000381469727,50.75421142578125,40.86000061035156,41.76377868652344,32.69901657104492,19.134828567504883,76.92878723144531,23.6812744140625,18.132678985595703,25.64766502380371,65.94832611083984,51.546173095703125,21.657201766967773,35.08881759643555,63.24543380737305,15.318841934204102,38.746944427490234,40.434165954589844,68.84003448486328,54.66736602783203,102.36040496826172,103.66204071044922,70.45716094970703,121.83731079101562,19.439790725708008,75.79000091552734
2015-01-07,59.56999969482422,22.798328399658203,14.785734176635742,17.75,50.42979049682617,41.75,41.37289047241211,33.16576385498047,19.498958587646484,78.11067199707031,24.015182495117188,18.406972885131836,25.733705520629883,65.2597885131836,51.59627914428711,21.965150833129883,35.35442352294922,63.57475662231445,15.374041557312012,35.73908996582031,40.54106140136719,70.02400207519531,56.41828918457031,103.16578674316406,106.76026153564453,69.91459655761719,124.70343780517578,19.616853713989258,77.72000122070312
2015-01-08,61.439998626708984,23.39129066467285,14.98161506652832,17.829999923706055,51.98976516723633,43.630001068115234,41.92473220825195,33.5884895324707,20.008731842041016,79.33329772949219,24.270009994506836,19.14087677001953,25.793928146362305,66.49562072753906,53.13273620605469,22.247974395751953,36.27301025390625,65.09971618652344,15.624049186706543,37.21596145629883,40.5328483581543,71.35596466064453,58.161712646484375,103.70272827148438,107.85655975341797,70.48623657226562,127.92042541503906,19.742265701293945,79.37999725341797
2015-01-09,62.58000183105469,23.018095016479492,14.915268898010254,17.510000228881836,51.382347106933594,44.20000076293945,41.464847564697266,33.10411834716797,19.799365997314453,78.03728485107422,24.06790542602539,18.814695358276367,25.03680419921875,65.47164154052734,51.671424865722656,21.638349533081055,36.03506851196289,63.961360931396484,15.400006294250488,36.572818756103516,40.49172592163086,70.00919342041016,58.049476623535156,103.35099029541016,107.58010864257812,69.60452270507812,128.18032836914062,19.616853713989258,80.54000091552734
2015-01-12,63.16999816894531,23.109323501586914,14.844182014465332,17.190000534057617,50.09849166870117,42.83000183105469,40.82870864868164,32.901573181152344,19.553579330444336,77.48304748535156,23.637338638305664,18.673843383789062,24.87333106994629,64.75665283203125,48.932559967041016,21.3743896484375,35.763912200927734,63.102230072021484,15.458460807800293,36.31873321533203,40.401275634765625,69.56520080566406,57.58554458618164,102.6196060180664,101.27877807617188,68.55815887451172,129.30471801757812,19.484052658081055,80.66000366210938
2015-01-13,62.650001525878906,23.009801864624023,14.913686752319336,17.65999984741211,49.51865768432617,42.709999084472656,41.09694290161133,32.734249114990234,19.46255111694336,78.5915756225586,23.400089263916016,18.34766387939453,24.322696685791016,64.90670013427734,48.4064826965332,21.298974990844727,35.96865463256836,63.35281753540039,15.870816230773926,36.46957778930664,42.36137008666992,69.1656265258789,56.99444580078125,102.80474090576172,101.2883071899414,67.17266082763672,128.27139282226562,19.624225616455078,82.54000091552734
2015-01-14,61.060001373291016,22.95175552368164,15.055858612060547,17.65999984741211,48.85600662231445,42.279998779296875,41.403541564941406,32.205841064453125,19.23496437072754,77.2221908569336,23.031028747558594,18.125263214111328,24.047374725341797,64.65956115722656,48.25616455078125,21.34925079345703,36.140201568603516,62.687007904052734,15.711714744567871,36.525169372558594,42.30348587036133,69.25443267822266,56.1040153503418,102.7770004272461,99.43892669677734,65.07984924316406,129.16822814941406,19.749650955200195,81.2300033569336
2015-01-15,59.630001068115234,22.487323760986328,15.123783111572266,17.579999923706055,48.179588317871094,40.15999984741211,40.698402404785156,31.386821746826172,18.77070426940918,76.12996673583984,22.213829040527344,17.613758087158203,23.574169158935547,63.7238655090332,47.4211540222168,21.61949920654297,35.946529388427734,62.25029754638672,15.49093246459961,36.11227035522461,42.63430404663086,67.87806701660156,55.78974151611328,102.30485534667969,100.7258529663086,63.75248718261719,127.04305267333984,19.712764739990234,81.27999877929688
