Comparison,Sharpe (ann.) A,Sharpe (ann.) B,z-stat,p-value,Significant @5%
XGBoost vs EqualWeight,-0.537,0.144,-3.966,0.0001,Yes
RF vs EqualWeight,-0.509,0.144,-3.726,0.0002,Yes
LSTM vs EqualWeight,-0.032,0.144,-1.055,0.2915,No
ClassicalMVO vs EqualWeight,-0.135,0.144,-1.419,0.1559,No
XGBoost vs ClassicalMVO,-0.537,-0.135,-1.649,0.0992,No
EqualWeight vs RiskParity,0.144,0.144,,,No
