,EqualWeight,ClassicalMVO,RiskParity,RF,XGBoost,LSTM
2018-02-01,-0.0020369464190839034,-0.007180331199649646,-0.002036946419083904,-0.005904500688647028,-0.005904500688647028,-0.005904500688647028
2018-02-02,-0.01755494631302477,-0.016376254576420668,-0.017554946313024778,-0.012364905258003912,-0.012364905258003912,-0.012364905258003912
2018-02-05,-0.03853889061583338,-0.04245549501109197,-0.03853889061583338,-0.033147138361043695,-0.033147138361043695,-0.033147138361043695
2018-02-06,0.012224660543289132,0.009685007411380212,0.012224660543289134,0.006157800798954026,0.006157800798954026,0.006157800798954026
2018-02-07,-0.0020693198449310557,-0.00035860346805042023,-0.002069319844931056,-0.0016773812947535247,-0.0016773812947535247,-0.0016773812947535247
2018-02-08,-0.033997979320464125,-0.043303732932165724,-0.033997979320464125,-0.031558369013910625,-0.031558369013910625,-0.031558369013910625
2018-02-09,0.014355453033192453,0.011986274430542853,0.014355453033192456,0.00840107599922596,0.00840107599922596,0.00840107599922596
2018-02-12,0.013493576571907355,0.008127025263294178,0.013493576571907357,0.008407809348891704,0.008407809348891704,0.008407809348891704
2018-02-13,0.0006619266721849275,0.004791497450291525,0.0006619266721849281,0.0016988330702632653,0.0016988330702632653,0.0016988330702632653
2018-02-14,0.019954520506916366,0.029468086251084064,0.019954520506916366,0.02116034457338659,0.02116034457338659,0.02116034457338659
2018-02-15,0.010566011648325992,0.01783971680941919,0.010566011648325994,0.014366468285689807,0.014366468285689807,0.014366468285689807
2018-02-16,-0.0021441569503763795,0.004673088019498267,-0.0021441569503763804,0.0035444004814199175,0.0035444004814199175,0.0035444004814199175
2018-02-20,-0.006407185716440855,-0.002087691776097656,-0.006407185716440856,-0.009528502893739079,-0.009528502893739079,-0.009528502893739079
2018-02-21,-0.0003239113479317654,-0.0071755514365482,-0.0003239113479317652,-0.006437226153660165,-0.006437226153660165,-0.006437226153660165
2018-02-22,-0.0002864218650008754,-0.009970635808166843,-0.00028642186500087635,-0.008337014994590055,-0.008337014994590055,-0.008337014994590055
2018-02-23,0.008749796343361774,0.01828895382339687,0.008749796343361774,0.01833278619136584,0.01833278619136584,0.01833278619136584
2018-02-26,0.004602995236506512,0.0009389089723709282,0.004602995236506512,-0.0001986999576324988,-0.0001986999576324988,-0.0001986999576324988
2018-02-27,-0.012646045851662851,-0.013502418933940379,-0.012646045851662853,-0.012061120074416206,-0.012061120074416206,-0.012061120074416206
2018-02-28,-0.014018708807263853,-0.010053780076571322,-0.014018708807263853,-0.009417341561982845,-0.009417341561982845,-0.009417341561982845
2018-03-01,-0.010868874965410981,-0.0331767596886666,-0.010868874965410981,-0.00841048657915296,-0.00841048657915296,-0.00841048657915296
2018-03-02,0.00781601290395414,0.014052684818862866,0.00781601290395414,0.00338944816797543,0.00338944816797543,0.00338944816797543
2018-03-05,0.011524302583300415,0.01325173937834316,0.011524302583300415,0.014535426048343167,0.014535426048343167,0.014535426048343167
2018-03-06,0.009337578639219106,0.010246300797712583,0.009337578639219106,0.003118262780093237,0.003118262780093237,0.003118262780093237
