Strategy,Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Max Drawdown (%),Ann. Turnover (%)
EqualWeight,18.55,22.16,0.657,-35.78,0.0
ClassicalMVO,23.1,32.05,0.596,-56.85,62.2
RiskParity,18.55,22.16,0.657,-35.78,0.0
RF,13.06,27.66,0.327,-43.58,378.3
XGBoost,5.61,27.75,0.058,-54.01,403.5
LSTM,12.88,25.59,0.347,-39.8,648.1
