Date,AAPL,AMZN,BRK-B,GOOGL,HD,JNJ,JPM,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2015-01-02,24.19260597229004,15.425999641418457,149.1699981689453,26.244783401489258,78.78035736083984,76.11088562011719,46.27431106567383,77.76708221435547,39.68173599243164,0.48242291808128357,65.55575561523438,14.620667457580566,83.35267639160156,61.08810043334961,57.145545959472656
2015-01-05,23.51106071472168,15.10949993133545,147.0,25.744712829589844,77.1275405883789,75.57933044433594,44.837745666503906,76.51806640625,39.31683349609375,0.47427472472190857,65.24405670166016,14.005999565124512,81.9797592163086,59.739662170410156,55.58195495605469
2015-01-06,23.513269424438477,14.76449966430664,146.83999633789062,25.109352111816406,76.89138793945312,75.20794677734375,43.67512512207031,75.48710632324219,38.73976516723633,0.4598955810070038,64.9468765258789,14.085332870483398,81.8143310546875,59.354705810546875,55.28645706176758
2015-01-07,23.842979431152344,14.920999526977539,148.8800048828125,25.035503387451172,79.52681732177734,76.86822509765625,43.74177169799805,75.48710632324219,39.23197555541992,0.4586974084377289,65.28752899169922,14.063332557678223,82.64969635009766,60.14996337890625,55.84666061401367
2015-01-08,24.759082794189453,15.02299976348877,151.3699951171875,25.12273406982422,81.28627014160156,77.4726333618164,44.71924591064453,77.49943542480469,40.38610076904297,0.4759523570537567,66.03416442871094,14.041333198547363,86.5948486328125,60.956703186035156,56.77618408203125
2015-01-09,24.785633087158203,14.846500396728516,149.47000122070312,24.81595230102539,79.89241027832031,76.41673278808594,43.94172668457031,77.06326293945312,40.04664993286133,0.4778696894645691,65.41802215576172,13.77733325958252,85.7843246459961,60.053138732910156,56.696170806884766
2015-01-12,24.174907684326172,14.570500373840332,148.27999877929688,24.63456153869629,79.53441619873047,76.15460205078125,43.56406021118164,76.05215454101562,39.54595947265625,0.4718782901763916,65.17882537841797,13.480667114257812,84.81663513183594,59.935585021972656,55.606563568115234
2015-01-13,24.389543533325195,14.737000465393066,148.6300048828125,24.869478225708008,79.00887298583984,76.28569030761719,43.57146453857422,75.78449249267578,39.34229278564453,0.47115933895111084,65.45425415039062,13.616666793823242,85.2467041015625,60.110748291015625,55.40342712402344
2015-01-14,24.296606063842773,14.66349983215332,147.82000732421875,25.074161529541016,78.1786117553711,75.73223114013672,42.06822967529297,75.615966796875,39.00284957885742,0.4730764627456665,65.22957611083984,12.845999717712402,85.46175384521484,58.90753173828125,55.24336624145508
2015-01-15,23.63719367980957,14.34749984741211,147.5800018310547,24.979005813598633,76.93708038330078,74.63265228271484,40.72051239013672,73.40538787841797,38.59551239013672,0.46972134709358215,65.13534545898438,12.791333198547363,86.3963851928711,58.347415924072266,54.76321029663086
2015-01-16,23.453527450561523,14.536999702453613,149.2100067138672,25.29867172241211,79.30591583251953,75.76139068603516,41.416587829589844,74.52555084228516,39.240455627441406,0.4783489406108856,66.14287567138672,12.871333122253418,87.47978973388672,58.766929626464844,56.092864990234375
2015-01-20,24.057621002197266,14.472000122070312,148.6300048828125,25.27289581298828,78.64326477050781,73.75882720947266,41.25366973876953,75.57632446289062,39.36774444580078,0.47978684306144714,66.0993881225586,12.795332908630371,87.35574340820312,59.20258331298828,56.07442855834961
2015-01-21,24.24128532409668,14.862500190734863,147.17999267578125,25.79080581665039,78.85652160644531,74.2030258178711,41.38695526123047,76.07197570800781,38.96889877319336,0.486497163772583,66.23370361328125,13.104666709899902,90.41593933105469,59.30400085449219,56.5545654296875
2015-01-22,24.871938705444336,15.515999794006348,150.14999389648438,26.628875732421875,80.79118347167969,75.5574722290039,42.64582061767578,76.97404479980469,39.9957275390625,0.49488508701324463,66.8834228515625,13.441332817077637,94.16261291503906,59.37775802612305,57.17015838623047
2015-01-23,25.000282287597656,15.619500160217285,149.1199951171875,26.859331130981445,80.25801086425781,74.4215087890625,41.97195816040039,77.15248107910156,40.038169860839844,0.49632322788238525,65.75920104980469,13.419333457946777,92.63250732421875,59.536827087402344,55.95130920410156
2015-01-26,25.026832580566406,15.482999801635742,149.6999969482422,26.600133895874023,81.0120849609375,74.4651870727539,42.03861999511719,76.82535552978516,39.89390563964844,0.49416592717170715,65.39421081542969,13.770000457763672,92.30995178222656,59.13111114501953,56.48687744140625
2015-01-27,24.15056037902832,15.337499618530273,147.64999389648438,25.830455780029297,80.0980453491211,74.34137725830078,41.61652755737305,75.12032318115234,36.20236587524414,0.47044023871421814,63.138492584228516,13.732000350952148,90.9865951538086,57.8541259765625,55.98823165893555
2015-01-28,25.515869140625,15.195500373840332,144.77999877929688,25.39630699157715,79.77815246582031,73.89720153808594,40.54277038574219,75.57632446289062,34.954891204833984,0.46277135610580444,62.1602668762207,13.291333198547363,89.70465850830078,56.78691101074219,54.141456604003906
2015-01-29,26.310260772705078,15.58899974822998,146.2899932861328,25.43595314025879,81.97178649902344,74.55256652832031,41.22404861450195,77.32099151611328,35.650760650634766,0.4740351438522339,62.53985595703125,13.680000305175781,90.47382354736328,57.16493606567383,53.913692474365234
2015-01-30,25.925228118896484,17.726499557495117,143.91000366210938,26.641263961791992,79.53441619873047,72.92141723632812,40.268795013427734,75.24920654296875,34.28449249267578,0.46013519167900085,61.53245544433594,13.573332786560059,87.87679290771484,58.75770950317383,53.815185546875
2015-02-02,26.250511169433594,18.223499298095703,146.72999572753906,26.376115798950195,79.54202270507812,73.42387390136719,41.07594680786133,74.33720397949219,35.03128433227539,0.47020062804222107,62.138362884521484,14.062666893005371,88.73696899414062,58.85681915283203,55.14488220214844
2015-02-03,26.254934310913086,18.177499771118164,148.2899932861328,26.430631637573242,81.68233489990234,74.61080932617188,42.0015983581543,74.74363708496094,35.30283737182617,0.48194363713264465,62.7442626953125,14.557332992553711,89.16706085205078,59.882564544677734,56.788509368896484
2015-02-04,26.45630645751953,18.237499237060547,147.52999877929688,26.073801040649414,82.57350158691406,73.809814453125,41.74980926513672,74.97162628173828,35.506500244140625,0.48314201831817627,62.627464294433594,14.569999694824219,89.25800323486328,61.05814743041992,56.30218505859375
2015-02-05,26.6451358795166,18.694499969482422,149.6699981689453,26.258657455444336,83.01527404785156,74.61080932617188,42.03861999511719,74.95181274414062,36.024169921875,0.4910505414009094,63.29176712036133,14.732666969299316,90.00240325927734,62.65092086791992,56.856204986572266
2015-02-06,26.420757293701172,18.714000701904297,150.17999267578125,26.459381103515625,83.0533676147461,73.6205062866211,42.86796951293945,73.82173156738281,35.99022674560547,0.48889362812042236,62.49606704711914,14.490667343139648,88.99337768554688,61.64132308959961,56.750770568847656
2015-02-09,26.596263885498047,18.527999877929688,149.1300048828125,26.231401443481445,82.52017211914062,72.65925598144531,42.816139221191406,73.7919921875,35.94778823852539,0.4884144365787506,62.087257385253906,14.498666763305664,88.0753173828125,61.189517974853516,56.788002014160156
2015-02-10,27.107219696044922,18.649999618530273,149.9199981689453,26.770618438720703,84.29489135742188,73.07434844970703,43.29006576538086,74.53546142578125,36.151451110839844,0.502074658870697,62.335472106933594,14.419333457946777,90.12644958496094,60.979759216308594,56.446876525878906
2015-02-11,27.742576599121094,18.756999969482422,149.67999267578125,26.6635684967041,84.02070617675781,73.0961685180664,43.223411560058594,75.84396362304688,35.964752197265625,0.4987194836139679,62.517967224121094,14.186667442321777,90.85427856445312,61.42312240600586,56.19258117675781
2015-02-12,28.093578338623047,18.85849952697754,149.7899932861328,27.060548782348633,85.4298095703125,71.68350982666016,44.11203384399414,75.56641387939453,36.567298889160156,0.534428060054779,62.802669525146484,13.525333404541016,90.84599304199219,62.559295654296875,57.290382385253906
2015-02-13,28.231313705444336,19.09149932861328,148.33999633789062,27.315784454345703,85.22412872314453,72.54277038574219,44.186092376708984,75.08068084716797,37.229225158691406,0.5346673130989075,62.70775604248047,13.584667205810547,90.51517486572266,62.26369094848633,57.910614013671875
2015-02-17,28.397930145263672,18.771499633789062,149.1699981689453,27.010988235473633,85.30793762207031,73.13988494873047,44.50450134277344,74.94188690185547,37.24629592895508,0.5363452434539795,62.40846633911133,13.623332977294922,90.77984619140625,62.550045013427734,57.71214294433594
2015-02-18,28.595643997192383,18.668500900268555,148.6699981689453,26.894023895263672,85.30030059814453,72.7903060913086,43.963932037353516,76.04222869873047,37.203575134277344,0.5301139950752258,62.97056198120117,13.630666732788086,90.78812408447266,62.14590835571289,56.446876525878906
2015-02-19,28.53566551208496,18.950000762939453,147.47999572753906,27.082355499267578,84.50056457519531,73.32918548583984,43.860260009765625,78.7286376953125,37.17793273925781,0.5315519571304321,62.20404815673828,14.11400032043457,91.00316619873047,62.14130783081055,55.473121643066406
2015-02-20,28.7689208984375,19.183000564575195,148.72000122070312,26.851898193359375,85.49073791503906,73.51986694335938,44.282352447509766,79.20446014404297,37.48561477661133,0.535386323928833,61.955867767333984,14.473999977111816,93.1452865600586,63.041893005371094,55.77081298828125
2015-02-23,29.546464920043945,19.006999969482422,147.3699951171875,26.514888763427734,85.52120971679688,73.46119689941406,43.94911575317383,78.15370178222656,37.733463287353516,0.531072735786438,62.335472106933594,13.822667121887207,96.27165222167969,63.044227600097656,55.2064323425293
2015-02-24,29.36207389831543,18.929500579833984,148.9499969482422,26.695783615112305,88.9259033203125,73.84249877929688,45.03765869140625,77.76708221435547,37.68217849731445,0.5367261171340942,62.4157829284668,13.607333183288574,95.46934509277344,62.91951370239258,55.4607048034668
2015-02-25,28.611190795898438,19.26849937438965,148.77999877929688,27.12596893310547,88.59076690673828,74.21650695800781,45.27462387084961,78.8674087524414,37.59672546386719,0.5326364040374756,62.386558532714844,13.583999633789062,94.32801055908203,63.044227600097656,55.57234573364258
2015-02-26,28.97330665588379,19.239999771118164,148.33999633789062,27.718713760375977,87.88240051269531,75.38239288330078,45.6004638671875,79.71002960205078,37.65654754638672,0.5340800285339355,62.17485427856445,13.812666893005371,94.0054702758789,63.215091705322266,54.9831428527832
2015-02-27,28.53789710998535,19.007999420166016,147.41000366210938,27.88424301147461,87.40255737304688,75.16976928710938,45.378292083740234,78.28254699707031,37.477073669433594,0.530711829662323,62.14564895629883,13.555999755859375,93.98062896728516,62.651649475097656,54.91490936279297
2015-03-02,28.677841186523438,19.283000946044922,147.0800018310547,28.49829864501953,88.44603729248047,75.69039154052734,45.74114227294922,79.0557632446289,37.50271224975586,0.5437029600143433,62.35007858276367,13.155332565307617,94.61749267578125,64.26349639892578,54.60479736328125
2015-03-03,28.73782730102539,19.230499267578125,145.92999267578125,28.685142517089844,88.40796661376953,75.04509735107422,45.889244079589844,78.90707397460938,36.989898681640625,0.5335987210273743,62.16756057739258,13.303999900817871,93.34375762939453,63.57305145263672,54.34429931640625
