,EqualWeight,ClassicalMVO,RiskParity,RF,XGBoost,LSTM
2018-02-01,-8.743518320716682e-05,-0.008502284911701977,-8.743518320716686e-05,0.0038510170602691365,0.0038510170602691365,0.0038510170602691365
2018-02-02,-0.02592512516893245,-0.01686489623658495,-0.025925125168932455,-0.02783608262375674,-0.02783608262375674,-0.02783608262375674
2018-02-05,-0.04847506821983063,-0.05403781634623844,-0.04847506821983064,-0.05061470467677747,-0.05061470467677747,-0.05061470467677747
2018-02-06,0.024908664056420986,0.03144486430272178,0.024908664056420993,0.016986419584835988,0.016986419584835988,0.016986419584835988
2018-02-07,-0.006090921025543047,-0.011282838240294905,-0.0060909210255430495,-0.005867149812721725,-0.005867149812721725,-0.005867149812721725
2018-02-08,-0.044801333787480586,-0.04719144046632999,-0.04480133378748059,-0.03560271380143719,-0.03560271380143719,-0.03560271380143719
2018-02-09,0.01883151609493668,0.028174650195873452,0.018831516094936683,0.013929401091548535,0.013929401091548535,0.013929401091548535
2018-02-12,0.012933518194617933,0.009477344662379662,0.012933518194617936,0.01244916118565696,0.01244916118565696,0.01244916118565696
2018-02-13,0.00432050874301276,0.005063434893432327,0.004320508743012761,0.00018224272104144527,0.00018224272104144527,0.00018224272104144527
2018-02-14,0.01377401232968674,0.025114608033558885,0.013774012329686744,0.003300836548288508,0.003300836548288508,0.003300836548288508
2018-02-15,0.01281668397538622,0.00714686365446513,0.012816683975386224,0.010006294072086946,0.010006294072086946,0.010006294072086946
2018-02-16,-0.00020183108282692674,-0.003177101914946705,-0.00020183108282692688,0.006043822288022364,0.006043822288022364,0.006043822288022364
2018-02-20,-0.0014414809158185802,0.004514667721928842,-0.0014414809158185807,-0.009284517642689167,-0.009284517642689167,-0.009284517642689167
2018-02-21,-0.0067474037555496,-0.001572246780992027,-0.006747403755549601,-0.010178181893807332,-0.010178181893807332,-0.010178181893807332
2018-02-22,0.006313437971600733,0.0032311342555243123,0.006313437971600735,0.005895057662929448,0.005895057662929448,0.005895057662929448
2018-02-23,0.016325241363275993,0.01574711377540922,0.016325241363275997,0.013187385365722086,0.013187385365722086,0.013187385365722086
2018-02-26,0.013382603387033832,0.011323882374073222,0.013382603387033837,0.013441754545767884,0.013441754545767884,0.013441754545767884
2018-02-27,-0.011351225764954263,-0.011478452287207772,-0.011351225764954264,-0.010439393332393732,-0.010439393332393732,-0.010439393332393732
2018-02-28,-0.014052095674799387,-0.014750178749484623,-0.014052095674799389,-0.017556795451186043,-0.017556795451186043,-0.017556795451186043
2018-03-01,-0.018314305912146084,-0.017164740719104506,-0.018314305912146084,-0.013004644474163201,-0.013004644474163201,-0.013004644474163201
2018-03-02,0.005663444983234005,0.006463683773978889,0.005663444983234007,0.00537420235272088,0.00537420235272088,0.00537420235272088
2018-03-05,0.009334568577858667,0.01064895873010848,0.009334568577858667,0.010502808512320569,0.010502808512320569,0.010502808512320569
2018-03-06,-0.0005120419747742133,0.003974239687258523,-0.0005120419747742134,-0.0034856362561186426,-0.0034856362561186426,-0.0034856362561186426
2018-03-07,0.0007857365811484003,0.0071310008213446695,0.0007857365811484004,-0.004761636125456534,-0.004761636125456534,-0.004761636125456534
2018-03-08,0.0028052887178053798,-0.001533401451945157,0.002805288717805379,0.006613815957563355,0.006613815957563355,0.006613815957563355
2018-03-09,0.01625576680211354,0.0150525386938596,0.016255766802113547,0.013975628513975285,0.013975628513975285,0.013975628513975285
2018-03-12,0.0038262608594191796,0.0036279544179965008,0.003826260859419181,-0.0036700866798982604,-0.0036700866798982604,-0.0036700866798982604
2018-03-13,-0.00790805789184595,-0.0073010165764509265,-0.007908057891845956,-0.0011479076789879742,-0.0011479076789879742,-0.0011479076789879742
2018-03-14,-0.0072815421505183124,0.0011395654381001707,-0.007281542150518314,-0.009666753577616724,-0.009666753577616724,-0.009666753577616724
2018-03-15,0.0030433956224098662,0.0033366114164283373,0.003043395622409867,0.0044687046046716986,0.0044687046046716986,0.0044687046046716986
2018-03-16,2.861262420442637e-05,0.0003694970789155171,2.8612624204426828e-05,0.0019831497621019185,0.0019831497621019185,0.0019831497621019185
2018-03-19,-0.020910231470308037,-0.03129917098412836,-0.02091023147030804,-0.014339463854395398,-0.014339463854395398,-0.014339463854395398
2018-03-20,0.0038108836233304933,0.00917803194420742,0.003810883623330494,0.0033099389497651035,0.0033099389497651035,0.0033099389497651035
2018-03-21,-0.0030231579657972003,-0.004860684236979775,-0.0030231579657972007,-0.0043730523671303995,-0.0043730523671303995,-0.0043730523671303995
2018-03-22,-0.02647274943314227,-0.028437964695200078,-0.026472749433142272,-0.02313743453283507,-0.02313743453283507,-0.02313743453283507
2018-03-23,-0.023428671785483784,-0.029147903492684354,-0.023428671785483798,-0.016409263839668134,-0.016409263839668134,-0.016409263839668134
